epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.59252,2.14489,9.132,1.36675,0,0,0,0,1.14296,7.35515,0.91052,0,0,0
2,11.8807,1.88535,8.11542,1.64375,0,0,0,0,1.146,7.28698,0.91597,4.12872e-06,4.12872e-06,4.12872e-06
3,15.9647,1.47282,7.35493,1.22385,0,0,0,0,1.15603,7.19233,0.91946,8.17487e-06,8.17487e-06,8.17487e-06
4,20.2818,1.83528,9.03781,1.53637,0,0,0,0,1.16775,7.08329,0.91655,1.21385e-05,1.21385e-05,1.21385e-05
5,24.3239,1.67354,7.85193,1.61637,0,0,0,0,1.11295,6.90494,0.89016,1.60195e-05,1.60195e-05,1.60195e-05
6,28.4591,1.19019,10.9949,1.30533,0,0,0,0,1.03943,6.76416,0.8788,1.98179e-05,1.98179e-05,1.98179e-05
7,32.907,1.10004,7.72511,1.13253,0,0,0,0,1.0228,6.57974,0.8575,2.35338e-05,2.35338e-05,2.35338e-05
8,37.3075,1.73622,8.70405,1.5519,0,0,0,0,0.93549,6.30465,0.83525,2.71671e-05,2.71671e-05,2.71671e-05
9,42.0847,1.19289,10.2862,0.94681,0,0,0,0,0.93091,6.2022,0.79977,3.07179e-05,3.07179e-05,3.07179e-05
10,46.2596,1.14939,6.70074,1.1436,0,0,0,0,0.82405,6.0272,0.78686,3.41861e-05,3.41861e-05,3.41861e-05
11,50.2946,1.31833,6.82636,1.1253,0,0,0,0,0.77827,5.98842,0.78381,3.75717e-05,3.75717e-05,3.75717e-05
12,54.9593,0.87838,6.59904,1.06527,0,0,0,0,0.73678,5.84968,0.75538,4.08748e-05,4.08748e-05,4.08748e-05
13,60.0829,0.74742,6.13581,1.02014,0,0,0,0,0.67998,5.68976,0.71638,4.40952e-05,4.40952e-05,4.40952e-05
14,64.882,1.02369,6.32986,1.11917,0,0,0,0,0.6136,5.65486,0.70405,4.72332e-05,4.72332e-05,4.72332e-05
15,68.9318,0.63896,7.16535,0.93162,0,0,0,0,0.60973,5.64286,0.66123,5.02885e-05,5.02885e-05,5.02885e-05
16,73.2894,1.02708,6.14413,0.96876,0,0,0,0,0.55164,5.62583,0.65042,5.32613e-05,5.32613e-05,5.32613e-05
